Published?,Problem or Solution,BUILDING BLOCK or COGNITIVE BIAS,Environmental Tag,World Region,Title,Author,News Source,Date,URL
Published,Solution,"Associations, Relatable, Vivid",Climate - Belief,Canada and the US,why is the belief is global warming affected by temperature?,Art Markman,Psychological Today,5/6/11,https://www.psychologytoday.com/blog/ulterior-motives/201105/why-is-the-belief-in-global-warming-affected-temperature
Published,Solution,Associations,Climate - General,Canada and the US,"Why Environmental Understanding, or ""Associations,"" Matters: An Evaluation of the EcoAmerica Summary Report",George Lakoff,The Huffington Post,5/25/11,http://www.huffingtonpost.com/george-lakoff/why-environmental-underst_b_205477.html
Published,Solution,Relatable ,Climate - Belief,Oceania,"Forget facts, it's personality that rules reactions to climate change","Jo Chandler",The Age,5/28/11,http://www.theage.com.au/it-pro/forget-facts-its-personality-that-rules-reactions-to-climate-change-20110527-1f8dl.html
Published,Problem,Cognitive Bias - Optimism bias,None,Canada and the US,The Optimism Bias,Tali Sharot,Time Magazine,5/28/11,"http://content.time.com/time/health/article/0,8599,2074067-1,00.html"
Published,Problem,General,None,"Asia, Canada and the US, Central and South America",Why Can't More People Escape Poverty?,Jamie Holmes,New Republic,6/5/11,http://www.newrepublic.com/article/environment-energy/89377/poverty-escape-psychology-self-control
Published,Problem,Cognitive Bias - Backfire Effect,None,Canada and the US,The Backfire Effect,David McRaney,You Are Not So Smart,6/10/11,http://youarenotsosmart.com/2011/06/10/the-backfire-effect/
Published,Solution,Vivid,Waste Management - Littering,Europe,Lucerne's Clever Street Decals Make Taking Out the Trash Fun,Diane Pham,Inhabitat,6/24/11,http://inhabitat.com/the-city-of-lucerne-turns-taking-out-the-trash-into-a-fun-game/
Published,Solution,"Easy, Vivid",Energy - General,Canada and the US,"With Post-Its and Checklists, Schools Cut Their Energy Bills",Winnie Hu,The New York Times,8/14/11,http://www.nytimes.com/2011/08/15/education/15energy.html?src=me&ref=general
Published,Problem,Easy ,None,Canada and the US,Do You Suffer From Decision Fatigue?,John Tierney,The New York Times Magazine,8/17/11,http://www.nytimes.com/2011/08/21/magazine/do-you-suffer-from-decision-fatigue.html?pagewanted=all
Published,Solution,Vivid,Consumption - Buying,Central and South America,New Packaging Tells You How to Reuse it Creatively,Jennifer Hattam,treehugger,10/5/11,http://www.treehugger.com/sustainable-product-design/new-packaging-tells-you-how-to-reuse-it-creatively.html
Published,Solution,Easy,None,Canada and the US,"The Default Choice, So Hard to Resist",Steve Lohr,New York Times,10/15/11,http://www.nytimes.com/2011/10/16/technology/default-choices-are-hard-to-resist-online-or-not.html
Published,Solution,Relatable,Climate - Communication,Canada and the US,Spreading the Global Warming Gospel,Neela Banerjee,Los Angeles Times,12/7/11,http://articles.latimes.com/2011/dec/07/nation/la-na-evangelical-warming-20111207
Published,Solution,Ordinary ,"Consumption - Energy, Consumption - Freshwater, Transportation - General","Canada and the US, Europe",Social norm strategies do work •À_ but there are risks involved,Adam Corner,The Guardian,12/16/11,http://www.theguardian.com/sustainable-business/social-norm-behaviour-change
Published,Solution,"Easy, Ordinary",Consumption - Energy,Europe,Can nudges help to cut household energy consumption?,Imran Rasul and David Hollywood,The Guardian,1/27/12,http://www.theguardian.com/sustainable-business/behaviour-change-energy-consumption?newsfeed=true
Published,Solution,Vivid,Climate - Take Action,Europe,Is a 'nudge' in the right direction all we need to be greener?,George Webster,CNN,2/15/12,http://edition.cnn.com/2012/02/08/tech/innovation/green-nudge-environment-persuasion/index.html?hpt=hp_c3
Published,Solution,Lasting,None,Canada and the US,How Companies Learn Your Secrets,Charles Duhigg,The New York Times,2/16/12,http://www.nytimes.com/2012/02/19/magazine/shopping-habits.html?pagewanted=all&_r=0
Published,Solution,"Ordinary, Vivid",Waste Management - Littering,Europe,Green nudge: Nudging litter into the bin,•À_Simon Maal•À_e Jespersen,iNudgeyou,2/16/12,http://inudgeyou.com/green-nudge-nudging-litter-into-the-bin/
Published,Solution,Benefits,Climate - Take Action,Canada and the US,"Could ""Green Nudges"" Be Enough to Push Us in a Better Direction?",Tom Szaky,treehugger,2/28/12,http://www.treehugger.com/corporate-responsibility/could-green-nudges-be-enough-push-us-better-direction.html
Published,Solution,"Easy, Lasting",None,Canada and the US,Habits: How They Form and How to Break Them,Charles Duhigg,NPR,3/5/12,http://www.npr.org/2012/03/05/147192599/habits-how-they-form-and-how-to-break-them
Published,Solution,Relatable ,None,Canada and the US,The Psychology of Personalization: How Waiters Increased Tips by 23 Percent,Gregory Ciotti,Help Scout,4/3/12,http://www.helpscout.net/blog/the-psychology-of-personalization-how-waiters-increased-tips-by-23-percent-without-changing-service/
Published,Problem,Cognitive Bias - Optimism bias,Climate - General,Canada and the US,"80 Percent of Humans are delusionally optimistic, says science",Christopher Mims,grist,4/10/12,http://grist.org/list/80-percent-of-humans-are-delusionally-optimistic-says-science/
Published,Solution,"Associations, Awareness, Easy",Climate - Communication,Canada and the US,Communicating Climate Change in a National Park,Brian Ettling,Yale Climate Connections,4/26/12,http://www.yaleclimateconnections.org/2012/04/communicating-climate-change-in-a-national-park/
Published,Solution,Lasting,None,Canada and the US,The Neuroscience of Habits: How They Form and How to Change Them,Charles Duhigg,Scientific American•À_,4/27/12,http://www.scientificamerican.com/article/power-of-habit-excerpt/
Published,Solution,"Associations, Benefits, Identity, Relatable",Consumption - Buying,Europe,How to Grow Consumer Attachment to Green•À_Brands,None Listed ,Marketing Green,5/10/12,https://marketinggreen.wordpress.com/2012/05/10/how-to-grow-consumer-attachment-to-green-brands/
Published,Solution,"Associations, Benefits, Hopeful, Relatable",None,Canada and the US,10 Psychological Research Studies to Help You Tap Into Human Behavior and Increase Conversions,Gregory Ciotti,Moz,5/15/12,https://moz.com/ugc/10-psychological-research-studies-to-help-you-tap-into-human-behavior-and-increase-conversions
Published,Problem,Lasting,None,Oceania ,The neuroscience of change: Why it•À_s difficult and what makes it easier,Sue Langley,Langley group•À_,5/23/12,http://blog.langleygroup.com.au/neuroscience-of-change-what-makes-change-easier/
Published,Solution,"Associations, Norms, Identity ",Climate - Belief,Canada and the US,"Culture splits climate views, not science smarts",Dan Vernago,USA Today,5/27/12,http://content.usatoday.com/communities/sciencefair/post/2012/05/study-personality-split-climate-views-not-science-literacy/1#.VZBXRFJMUZx
Published,Solution,Lasting,None,Canada and the US,Golden Rule of Habit Change,Charles Duhigg,World of Psychology,7/17/12,http://psychcentral.com/blog/archives/2012/07/17/the-golden-rule-of-habit-change/
Published,Solution,"Easy, Ordinary",Consumption - Energy,Canada and the US,Rossland's Energy Diet sparks a trend,Andrew Bennet,The Rossland Telegraph,7/18/12,http://rosslandtelegraph.com/news/rosslands-energy-diet-sparks-trend-20048#.VdLqKzZRHIV
Published,Problem,Identity ,None,Canada and the US,How to Move a Mind,Maggie Koerth-Baker,The New York Times Magazine,8/15/12,http://www.nytimes.com/2012/08/19/magazine/the-mind-of-a-flip-flopper.html
Published,Solution,Identity,None,"Canada and the US, Europe",The Power of Hypocrisy,Timothy A. Pychyl,Psychology Today,8/17/12,https://www.psychologytoday.com/blog/dont-delay/201208/the-power-hypocrisy
Published,Solution,Lasting,None,Canada and the US,Realistic Resolutions,Martina M Cartwright,IDEA Health & Fitness Inc.,10/28/12,http://www.ideafit.com/fitness-library/realistic-resolutions
Published,Solution,Easy,Food - Waste,Europe,"Smaller Plates, Less Waste",None Listed ,NewsInEnglish.no,11/20/12,http://www.newsinenglish.no/2012/11/20/smaller-plates-less-waste/
Published,Solution,Awareness,None,Europe,How to Ensure You're (Almost) Always Right,Alex Lickerman,Psychology Today,2/17/13,https://www.psychologytoday.com/blog/happiness-in-world/201302/how-ensure-youre-almost-always-right
Published,Solution,Associations,Climate - General,Canada and the US,Study Suggests •À_Moral Purity•À_ May Overcome Right-Wing Resistance to Environmental Science,Paul Rosenberg,Alternet,2/25/13,http://www.alternet.org/environment/study-suggests-moral-purity-may-overcome-right-wing-resistance-environmental-science
Published,Problem ,Identity ,None,"Canada and the US, Central and South America",We Aren't the World,Ethan Watters,Pacific Standard Magazine,2/25/13,http://www.psmag.com/books-and-culture/joe-henrich-weird-ultimatum-game-shaking-up-psychology-economics-53135
Published,Solution,Ordinary,None,Canada and the US,The Destructive Influence of Imaginary Peers,Tina Rosenberg,The New York Times,3/27/13,http://opinionator.blogs.nytimes.com/2013/03/27/the-destructive-influence-of-imaginary-peers/
Published,Solution,Lasting,Consumption - Energy,Canada and the US,Energy-Saving Company Set for Public Offering,Diane Cardwell,The New York Times,4/3/13,http://www.nytimes.com/2014/04/04/business/energy-environment/energy-saving-company-set-for-public-offering.html
Published,Solution,Easy,Energy - General,Canada and the US,"With Clean-Energy Default Rules, It's Easy Being Green",Cass R. Sunstein,Bloomberg Business,4/4/13,http://www.bloomberg.com/bw/articles/2013-04-04/with-clean-energy-default-rules-its-easy-being-green
Published,Solution,Easy,Climate - Take Action,Canada and the US,"What if ""green"" becomes the default setting?",Cass R. Sunstein,The Globe and Mail,4/27/13,http://www.theglobeandmail.com/globe-debate/what-if-green-becomes-the-default-setting/article11579431/
Published,Solution,"Identity, Lasting ",Climate - Take Action,Canada and the US,Are You a Sustainability Hypocrite?,Shawn M. Burn,Psychology Today,5/9/13,https://www.psychologytoday.com/blog/presence-mind/201305/are-you-sustainability-hypocrite
Published,Problem,Cognitive Bias - General,None,Europe,Cognitive Biases are Bad for Business,Jim Taylor,Psychology Today,5/20/13,https://www.psychologytoday.com/blog/the-power-prime/201305/cognitive-biases-are-bad-business
Published,Solution,"Associations, Hopeful",Oceans - General,Canada and the US,Beyond the Obituaries: The Shining Stars of Conservation Work,Michelle Marraffini,Moss Landing Marine Labs,6/17/13,https://mlmlblog.wordpress.com/2013/06/17/beyond-the-obituaries-the-shinning-stars-of-conservation-work/
Published,Solution,Lasting,None,Canada and the US,Breaking Habits Before They Start,Anne Trafton ,Neuroscience News,6/27/13,http://neurosciencenews.com/optogenetics-il-cortex-habit-formation-psychology-270/
Published,Problem,Cognitive Bias - Optimism bias,Natural Disasters,Canada and the US,Putting the Disaster in Natural Disasters: Why Many Choose to Live in Harm's Way,David Ropeik,The Huffington Post,7/18/13,http://www.huffingtonpost.com/david-ropeik/putting-the-disaster-in-natural-disasters_b_3617132.html
Published,Solution,Associations,Climate - General,Canada and the US,"Heat Wave Psychology: Long Past, Green Future?",Wray Herbert,The Huffington Post,7/24/13,http://www.huffingtonpost.com/wray-herbert/heat-wave-psychology-long_b_3644823.html•À_
Published,Solution,Lasting,Consumption - Energy,Canada and the US,Students Do It in the Dark for Sustainability,None Listed ,UCB,7/26/13,http://planning.ubc.ca/vancouver/news-events/newsletter/2013-07-26/students-do-it-dark-sustainability
Published,Solution,Benefits,Waste Management - Recycle/Reuse/Repurpose,Asia,Paying With Plastic: Recycling Earns Public Transit Fares in China,Chad Lutz,EcoWatch,8/5/13,http://ecowatch.com/2013/08/05/plastic-recycling-transit-fares-china/
Published,Solution,General,"Consumption - Energy, Waste Management - Littering","Canada and the US, Europe","""Nudge"" Back in Fashion at White House",Courtney Subramanian,Time Magazine,8/9/13,http://swampland.time.com/2013/08/09/nudge-back-in-fashion-at-white-house/
Published,Solution,"Ordinary, Vivid",Human Health - How People Cook and Eat,Canada and the US,Nudged to the produce isle by a look in the mirror,Michael Moss,The New York Times,8/27/13,http://www.nytimes.com/2013/08/28/dining/wooing-us-down-the-produce-aisle.html
Published,Solution,"Associations, Hopeful",Climate - Communication,Canada and the US,"To Change Environmental Behavior, Should We Really Tell People the World is Ending?",Hal Hershfield,The Huffington Post,9/3/13,http://www.huffingtonpost.com/hal-e-hershfield/to-change-environmental-behavior_b_3845707.html
Published,Problem,Cognitive Bias - Confirmation Bias,None,Canada and the US,Science Confirms: Politics Wrecks Your Ability to Do Math,Chris Mooney,Mother Jones,9/4/13,http://www.motherjones.com/politics/2013/09/new-study-politics-makes-you-innumerate
Published,Solution,Easy,Energy - General,"Canada and the US, Europe",The power of behavioural design: looking beyond nudging,Christoph Burmester,The Guardian,9/10/13,http://www.theguardian.com/sustainable-business/power-behavioural-design-beyond-nudging
Published,Solution,"Associations, Benefits","Environmental Policy, Land Use - Agriculture",Canada and the US,"Climate Policy, Not Change, Worries Farmers Most",Kat Kerlin,Futurity,9/11/13,http://www.futurity.org/climate-policy-change-worries-farmers/?utm_source=Futurity+Today&utm_campaign=b8bc7a0aa6-September_11_20139_11_2013&utm_medium=email&utm_term=0_e34e8ee443-b8bc7a0aa6-206307317
Published,Solution,"Ordinary, Vivid ","Climate - Take Action, Human Health - How people cook and eat",Canada and the US,Nudging environmental behavior,Michael Levy•À_,Center for Environmental Policy and Behavior-UC Davis,9/13/13,http://environmentalpolicy.ucdavis.edu/node/291
Published,Solution,"Easy, Ordinary",Waste Management - Recycle/Reuse/Repurpose,Europe,The story of Capannori •À_ A Zero Waste champion,Aimee Van Vilet,Zero Waste Europe,9/25/13,http://www.zerowasteeurope.eu/2013/09/the-story-of-capannori-a-zero-waste-champion/
Published,Solution,"Associations, Hopeful",Climate - Communication,Canada and the US,"To Encourage Positive Environmental Outcomes, Emphasize a Long Future, Not Impending Doom",Hal Hershfield,NYU Stern and Columbia Professors,9/26/13,http://www.stern.nyu.edu/experience-stern/news-events/hershfield-climate-change
Published,Problem,General,Waste Management - Recycle/Reuse/Repurpose,Canada and the US,How Recycling Bias Affects What You Toss Where,NPR Staff,NPR,9/27/13,http://www.npr.org/2013/09/27/226580668/how-recycling-bias-affects-what-you-toss-where
Published,Solution,"Awareness, Easy",None,Canada and the US,"The Science Behind Bad Decisions: ""Decision Fatigue"" Causing You to Make Unhealthy Choices?",James Clear,The Huffington Post,10/9/13,http://www.huffingtonpost.com/james-clear/decision-fatigue_b_4044212.html?utm_hp_ref=tw
Published,Solution,Lasting,Climate - General,"Canada and the US, Europe","Despair, courage, & hope in an age of environmental turmoil",Kenneth Worthy ,Psycholohy Today,11/9/13,https://www.psychologytoday.com/blog/the-green-mind/201311/despair-courage-hope-in-age-environmental-turmoil
Published,Solution,"Hopeful, Ordinary",Consumption - Energy,Canada and the US,Opower keeps improving its message to get people to use less energy,Mohana Ravindranath,The Washington Post,11/17/13,http://www.washingtonpost.com/business/on-it/opower-keeps-improving-its-message-to-get-people-to-use-less-energy/2013/11/17/6c726aca-4bc5-11e3-ac54-aa84301ced81_story.html
Published,Solution,"Associations, Vivid",Climate - General,Canada and the US,Do Older Countries Care More About the Environment?,Joshua Keating,Slate,12/5/13,http://www.slate.com/blogs/the_world_/2013/12/05/do_older_countries_care_more_about_the_environment_nbsp.html
Published,Problem,Identity ,None,Canada and the US,Another Partisan Divide: Mitt Romney's Looks,Adam Wollner,NPR Politics,12/15/13,http://www.npr.org/blogs/itsallpolitics/2013/12/15/250735621/another-partisan-divide-mitt-romneys-looks
Published,Solution,Easy ,None,"Africa, Asia, Canada and the US, Europe",The 15 Best Behavioural Science Graphs 2010-13,Mark Egan,Stirling Behavioural Science Blog,12/18/13,http://economicspsychologypolicy.blogspot.ie/2013/12/the-15-best-behavioural-science-graphs.html?m=1•À_•À_
Published,Solution,Lasting,"Consumption - Energy, Consumption - Buying ",Canada and the US,Does becoming a mother make women •À_greener•À_?,"Tonya Ha, •À_Kathryn Williams",The Conversation,12/19/13,http://theconversation.com/does-becoming-a-mother-make-women-greener-19390
Published,Solution,Easy,Energy - Electricity,Canada and the US,US Phase Out of Incandescent Light Bulbs Continues in 2014 with  40- and 60-Watt Varieties,Patrick J. Kiger,National Geographic,12/31/13,http://energyblog.nationalgeographic.com/2013/12/31/u-s-phase-out-of-incandescent-light-bulbs-continues-in-2014-with-40-60-watt-varieties/
Published,Solution,Lasting,None,Canada and the US,Think it'll take 21 days to make your resolution a habit? Try tripling that,Melissa Dahl,Today menu Today Health & Wellness,1/1/14,http://www.today.com/health/think-itll-take-21-days-make-your-resolution-habit-try-2D11826051
Published,Solution,Identity,None,Canada and the US,How to Keep Your Resolutions,Katherine L. Milkman and Kevin G. Volpp,The New York Times,1/3/14,http://www.nytimes.com/2014/01/05/opinion/sunday/how-to-keep-your-resolutions.html?_r=0
Published,Solution,"Easy, Ordinary, Vivid",Consumption - Energy,Europe,Click,•À_Simon Maal•À_e Jespersen,iNudgeyou,1/20/14,http://inudgeyou.com/click/
Published,Solution,Easy,Climate - Take Action,"Africa, Canada and the US, Europe","Road to Sustainability: More Nudging, less shoving",Paul Ferraro,SNAP,1/27/14,http://www.snap.is/magazine/paul-ferraro-sustainability-nudges-conservation/
Published,Solution,Awareness,Climate - Belief,Canada and the US,"The truth is out there, so how do you debunk a myth?",John Cook,The Conversation,2/5/14,http://theconversation.com/the-truth-is-out-there-so-how-do-you-debunk-a-myth-22641
Published,Solution,Hopeful,Climate - Communication,Canada and the US,Using humor effectively to communicate climate change,Brian Ettling,Climate Access,2/14/14,http://www.climateaccess.org/blog/using-humor-effectively-communicate-climate-change
Published,Solution,Easy,None,Canada and the US,How always being busy makes you dumber,Drake Baer,Fast Company,2/19/14,http://www.fastcompany.com/3026411/leadership-now/why-wait-how-always-being-busy-makes-you-dumber
Published,Solution,Associations,Wildlife - Conservation,Canada and the US,"Polar Bear Flip-Flop: People Hated, Then Loved These Photos. What Changed?",Robert Krulwich,NPR,3/1/14,http://www.npr.org/blogs/krulwich/2014/03/01/283993033/polar-bear-flip-flop-people-hated-then-loved-these-photos-what-changed
Published,Solution,"Awareness, Benefits",Oceans - Fishing,Canada and the US,How the Famous Marshmallow Study Explains Environmental Conservation,Svati Kirsten Narula,The Atlantic,3/6/14,http://www.theatlantic.com/business/archive/2014/03/how-the-famous-marshmallow-study-explains-environmental-conservation/284190/
Published,Solution,Benefits,Oceans - Fishing,Central and South America,Can Behavioral Economics Save Coral Reefs and Fisheries?,Ayana Elizabeth Johnson,National Geographic,3/10/14,http://voices.nationalgeographic.com/2014/03/10/can-behavioral-economics-save-reefs/
Published,Solution ,Vivid ,None,Canada and the US,The neuroscience of decision making explained in 30 seconds,Christian Jarrett,Wired,3/10/14,http://www.wired.com/2014/03/neuroscience-decision-making-explained-30-seconds/
Published,Solution,"Associations, Benefits, Easy",Transportation - Sustainable,Canada and the US,Helping Consumers See the Green Behind Fuel Economy,Jenna Zhang ,State of the Planet,3/11/14,http://blogs.ei.columbia.edu/2014/03/11/using-fuel-economy-labels-to-help-consumers-save-money-and-the-environment/
