Website?,Problem or Solution?,BUILDING BLOCK,Substep,Environmental Tag,Environmental SubTag,World Region,Title,Author,Publisher,Date,Date,Abstract,URL,Notes,Included in Vingettes?,Included in Case Studies?,Essential Not Essential,Posted on Twitter?,Tweet,Tweet Date,Retweet,Retweet Date,Posted on Facebook,Facebook Post Date,,,,,
,Salient,,Chris Chabris: When Intuition Fails,Christopher Chabris,,,"inattentional blindness, memory, cognitive illusions;  overconfidence effect",,21 min,all 3 of his videos are similar,https://www.youtube.com/watch?v=59js7dcie08,No,No,,yes,Yes,.@cfchabris�'s work reveals how relying on our institutions is a perilous#decisionmaking�strategy.�ow.ly/UjzG4,1/11/16,,,,,,,,,,,
,Normal ,,,Anthony Leiserowitz,,,discusses how people use emotions to make decisions under risk and uncertainty. People rely on experiences within their social groups,,8 min,,https://media.oregonstate.edu/media/anthony_leiserowitz/0_1arg60vh,No,No,,yes,Yes,Decision Making About#ClimateChange�VIDEO:http://ow.ly/Uvcqe,1/19/16,8/4/16,,,,,,,,,,
,Consistent,,Turning Mass Intention into Mass Action: Todd Rogers at TEDxCambridge 2013,Todd Rogers,,,"using social norms, sense of self, and goal setting to encourage people to vote; commitment setting/ consistency",,10 min,,https://www.youtube.com/watch?v=Fn82cNy52a4,No,No,,yes,,,,,,,,,,,,,,
,Consistent; Mindful?,,Expectations Color Experiences,Dan Ariely,,,people like things more if they expect to like them before experiencing them; inattentional blindness (cognitive dissonance? Confirmation bias?),,1 min,,https://www.youtube.com/watch?v=_l35a76_dBk,Consistent = No; Mindful = No,,,yes,,,,,,,,,,,,,,
,Consistent; Mindful?,,The Effect of Expectations,Dan Ariely,,,expectations of an experience influence people's response; inattentional blindness (cognitive dissonance? Confirmation bias?),,4 min,a more detailed version of the expectations video above,https://www.youtube.com/watch?v=drEVExtrUgQ,Consistent = No; Mindful = No,Consistent = No; Mindful = No,,yes,,,,,,,,,Yes,,,,,
,Consistent,,"Yale Professor Dan Kahan on ""motivated reasoning""",Dan Kahan,,,examples of motivated reasoning - seeing all evidence through a certain lens in order to maintain an idea; confirmation bias,,2 min,editing is a little awkward,https://www.youtube.com/watch?v=W-xMj0LWglM,No,No,,yes,,,,,,,,,Yes,,,,,
,Easy,,Adrian Camilleri on Choice Architecture and Translated Attributes,Adrian Camilleri,,,"choice architecture and implications for choosing fuel-efficient cars; framing, consistency",,4 min,Choice Architecture + Translational Attributes explained using fuel economy case study - how presenting fuel economy in different ways can alter end outcome,https://www.youtube.com/watch?v=xm_R3ch8ZnQ,No,No,,yes,,,,,,,,,,,,,,
,Easy,,Eldar Shafir Discusses Mindsets of Scarcity at EMERGE 2014,Eldar Shafir,,,"decision making, temptation, and limited attention for those in poverty; discounting, scarcity",,35 min,,https://vimeo.com/103149372 (alternative link: https://www.youtube.com/watch?v=Vf54Ia9A4JA),No,No,,yes,,,,,,,,,,,,,,
,Easy,,Eldar Shafir on the Psychology of Scarcity,Eldar Shafir,,,"decision making under time and attention scarcity, limited attention",,2 min,,https://www.youtube.com/watch?v=B4tLkY2ayzk,No,No,,yes,,,,,,,,,Yes,,,,,
,Easy,,How to create a habit: With Charles Duhigg and Ramit Sethi,Charles Duhigg,,,"keystone habits, willpower, and empowerment. It is important to know your limits and give yourself breaks; sense of self, meaning vs Sisyphus",,6.5 min,,https://www.youtube.com/watch?v=C8XG02das-A,No,No,,yes,,,,,,,,,,,,,,
,Easy,,"Richard Thaler - Nudge: improving decisions about wealth, health, and happiness",Richard Thaler,,,Introduction to Nudge and the importance of choice architecture,,18 min,,https://www.youtube.com/watch?v=p9lPBqvN_u4,No,No,,yes,,,,,,,,,,,,,,
,Easy,,The Psychology of Scarcity - RES 2014,Sendhil Mullainathan,,,"time and monetary scarcity and decision making, perception. Scarcity monopolizes your attention; limited attention, discounting",,4 min,Talks about how the use of cognitive resources can be straining and alter the way you make use of information in decision making,https://www.youtube.com/watch?v=592cmhCzbZs,No,No,,yes,,,,,,,,,Yes,,,,,
,Easy; Mindful,,Good Life Project: Charles Duhigg - Power of Habit,Charles Duhigg,,,"how habits form, social and personal cues, why habits are difficult to change, how habits are like addictions. The importance of social support and rewards; first choice effect, priming, limited energy, sense of self/consistency, meaning vs Sisyphus",,37 min,,https://www.youtube.com/watch?v=voX0gUn_JOI,Easy = No; Mindful = No,Easy = No; Mindful = No,,yes,,,,,,,,,,,,,,
,Habit,,The Secret to Making and Breaking Habits,Gretchen Rubin ,Habit summit,,Describes the four tendencies ,,33 min,,https://www.youtube.com/watch?v=jGIxYjfMedg,No,No,,yes,,,,,,,,,,,,,,
,Habit,,Tiny surprises for happiness and health ,BJ Fogg,Ted Talks ,,,,19 min,,https://www.youtube.com/watch?v=2L1R7OtJhWs,No,No,Essential,yes,,,,,,,,,,,,,,
,Mindful,,"Book TV: Shankar Vedantam, ""The Hidden Brain""",Shankar Vedantam,,,"unconscious mental action, biases and assumptions, social norms",,10 min,"uses terminology (""the hidden brain"") that is specific to his book",https://www.youtube.com/watch?v=q0tUUDavsz8,No,No,,yes,,,,,,,,,,,,,,
,Mindful,,Experts in Emotion 12.3 -- John Bargh on Unconscious Emotion,John Bargh,,,"discusses the hot coffee experiment, the roots of decision science/behavioral psychology, emotion regulation. Everything is discussed in somewhat broad terms; discounting, priming",,20 min,,https://www.youtube.com/watch?v=S4omk_ONo6M,No,No,,yes,,,,,,,,,,,,,,
,Mindful,,Hot States: Self-Control Mechanisms,Dan Ariely,,,how self control mechanisms work; ego depletion,,1 min,,https://www.youtube.com/watch?v=QWD-R0l5xLI,No,No,,yes,,,,,,,,,,,,,,
,Mindful,,John Bargh's walk to elevator priming experiments provide evidence against a free will,John Bargh,,,being primed with words related to old people make people walk slower,,3 min,,https://www.youtube.com/watch?v=ZAlTlx8lmlQ,No,No,,yes,,,,,,,,,,,,,,
,Mindful,,TEDxUIUC - Daniel Simons - Counter-Intuition,Daniel Simons,,,"our intuition and perception is more fallible than we think it is; inattentional blindness, overconfidence effect, limited attention",,19 min,,https://www.youtube.com/watch?v=eb4TM19DYDY,No,No,,yes,,,,,,,,,Yes,,,,,
,Mindful; Salient,,Shankar Vedantam: How the hidden brain influences decision making,Shankar Vedantam,,,"how culture, psychological influences affect how we think about environmental and policy issues, how different communication strategies appeal to different value systems; priming, cognitive dissonance, availability heuristic (salience) (telescope effect), sense of self",,40 min,,https://www.youtube.com/watch?v=s9wxpn4nflA,Mindful = No; Salient = No,Mindful = No; Salient = No,,yes,,,,,,,,,Yes,,,,,
,Mindful; Salient,,The Invisible Gorilla (featuring Daniel Simons)  - Regional EMMY Winning Video,Daniel Simons,,,describes the invisible gorilla experiment; inattentional blindness,,4.5 min,,https://www.youtube.com/watch?v=UtKt8YF7dgQ,Mindful = No; Salient = No,Mindful = No; Salient = No,,yes,,,,,,,,,Yes,,,,,
,Normal,,Cass Sunstein: Getting Beyond Groupthink,Cass Sunstein,,,Discusses political examples of confirmation bias and attitude polarization,,26 min,,https://www.youtube.com/watch?v=7jFfxsuoZQU,No,No,,yes,,,,,,,,,,,,,,
,Normal,,The Cost of Social Norms,Dan Ariely,,,basic explanation of different types of social norms and how different norms apply in different situations (market vs social  norms),,3.5 min,,https://www.youtube.com/watch?v=OdjlOgGVRVA,No,No,,yes,,,,,,,,,Yes,,,,,
,Personal ,,Six Americas--the six different types of responses to global warming among the American people. Different communication strategies,Anthony Leiserowitz,,,,,6 min,,http://environment.yale.edu/profile/leiserowitz/ (bottom of the page),No,No,,yes,,,,,,,,,,,,,,
,Resonate,,Why Don't We Naturally Make Good Decisions,Ron Howard,,,loss aversion; Decision making and framing,,2 min,,http://www.kantola.com/Ron-Howard-PDPD-143-S.aspx,No,No,,yes,,,,,,,,,,,,,,
,Salient,,Big Think Interview with Christopher Chabris,Christopher Chabris,,,"the invisible gorilla experiment, distraction and multitasking, memory, and other cognitive biases mentioned briefly; inattentional blindness , limited attention, authority bias",,23 min,,http://bigthink.com/videos/big-think-interview-with-christopher-chabris,No,No,,yes,,,,,,,,,,,,,,
,Salient,,Inattentional Blindness / Change Blindness - Dan Simons and Chris Chabris,Daniel Simons and Chris Chabris,,,change blindness experiment,,4 min,,https://www.youtube.com/watch?v=BZ0l9s8_Hmk,No,No,,yes,,,,,,,,,Yes,,,,,
,,,Behavioral Science & Election Participation by Harvard Prof Todd Rogers,Todd Rogers,,,"commitment setting, social norms, sense of self, consistency; using behavioral science to increase voter turnout",,20 min,longer version of the video above,https://www.youtube.com/watch?v=597Rj3qLH0Q,No,No,,yes,,,,,,,,,,,,,,
,,,Cass Sunstein,Cass Sunstein,,,Discusses group dynamics and attitude polarization with regards to attitudes about climate change; attitude polarization/ cognitive dissonance,,7 min,,http://thedailyshow.cc.com/videos/59kpyq/cass-sunstein,No,No,,yes,,,,,,,,,,,,,,
,,,DLDwomen13 - Why You Can't Always Get What You Want ,"Eric Johnson, Elke Weber",,,"discounting, defaults, query theory, limited attention; choice architecture, query theory (the first choice offered gets considered the most), tools to help us understand and act on our preferences",,20 min,,https://www.youtube.com/watch?v=IrScbFOi3QY,No,No,,yes,,,,,,,,,Yes,,,,,
,,,First Decisions Matter A Lot,Dan Ariely,,,explains the first choice effect; first choice effect,,1 min,,https://www.youtube.com/watch?v=iKQ3DIP8mzU,No,No,,yes,,,,,,,,,,,,,,
,,,High Cost of Attachment,Dan Ariely,,,people hold onto things they don't need because they are emotionally attached to them; loss aversion,,1 min,,https://www.youtube.com/watch?v=1mvqsBx83p0,No,No,,yes,,,,,,,,,,,,,,
,,,Science of Persuasion,Robert Cialdini,,2012,"quick intro to several ds principles with the goal of helping the viewer become a better influencer; reciprocity, scarcity, authority, consistency, liking (similarity, complements, cooperation), consensus (social norms)",influenceatwork,12 min,Video,https://www.youtube.com/watch?v=cFdCzN7RYbw,No,No,,yes,,,,,,,,,,,,,,
,,,The High Price of Ownership,Dan Ariely,,,ownership causes people to become invested in experiences and people are more hesitant to part with experiences. Selling makes you think less about you get and more about what you give up; loss aversion,,4.5 min,,https://www.youtube.com/watch?v=drEVExtrUgQ,No,No,,yes,,,,,,,,,,,,,,
,,,The Puzzle of Motivation,Dan Pink,,,"How to tap into people's intrinsic motivation to get them to care about things, solve problems, and be creative; sense of self",,20 min,"has a kind of self-help vibe but has interesting information. See the experts sheet for a shorter, animated version of this video",http://www.ted.com/talks/dan_pink_on_motivation?language=en,No,No,,yes,,,,,,,,,,,,,,
,,,XpertUS - Prof John Bargh - On Priming,John Bargh,,,the hot coffee experiment; priming,,5 min,,https://www.youtube.com/watch?v=vI0fFEffDd8,No,No,,yes,,,,,,,,,,,,,,
,,,"Yale Professor Dan Kahan on why ""spokespeople matter"" in regards to cultural cognition",Dan Kahan,,,expert bias,,3 min,editing is a little awkward,https://www.youtube.com/watch?v=Xrw9q77SApo,No,No,,yes,,,,,,,,,,,,,,
Problem,Avalibility heuristic,Natural disaters,How not to be ignorant about the world,Hans and Ola Rosling,TED,2014,"Video: How personal biases, outdated info and News bias (availability) lead us to percieve the worlds problems a certain way; Availability bias",TED,,"Video: How personal biases, outdated info and News bias (availability) lead us to percieve the worlds problems a certain way",http://www.ted.com/talks/hans_and_ola_rosling_how_not_to_be_ignorant_about_the_world?language=en,No,No,,,yes,How not to be ignorant about the#world�ow.ly/Ujz9G�#tedtalk�by @HansRosling,1/6/15,7/21/16,,,,,,,,,,
Problem,Ordinary,Population - Sustainable communities,Harnessing the Power of Peers for Behavior Change,Tina Rosenberg,Garrison Institute,2013,Using peer pressure to promote conservation and public health,Garrison Institute,,Video,https://www.youtube.com/watch?v=2grEguLHezI&list=PLyGz__IQOrcObBUurAx_0LusA7LvlJ2EQ&index=17,No,No,,,Yes,How�#peerpressure�can be a force for positive�#behaviorchange�and should be a tool for�#climatechangepractitioners�http://ow.ly/UvcEJ,1/20/16,8/8/16,,,,,Yes,,,,,
Solution,Normal,Wildlife - Conservation,Jennifer Jacquet: How do you punish global mega-corp? Shame them,Jennifer Jacquet,,2014,behavior; Using shame and punishment to promote cooperation in an environmental context,Wired UK,,Video,https://www.youtube.com/watch?v=yl4NSy0SXtc,No,No,,,Yes,.@jenniferjacquet�on shaming global mega-corps Full WIRED2014 talkhttp://ow.ly/UvcRw,1/21/16,6/1/16,Yes,1/7/16,,,,,,,,
Solution,"Awareness, Vivid",Energy - Electricity,Wayne Lin - Power Plants vs Saving Energy: Changing Behavior in a Low Engagement Environment,Wayne Lin,,2014,Encouraging energy use reductions using game theory; Behavioral Science,Gamification Co,25min,Video,https://www.youtube.com/watch?v=sFreBxDi9eQ&feature=youtu.be&utm_content=bufferb91f7&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,No,No,,,Yes,How @opower saved 4TWh to date-- the equivalent of taking San Francisco off the grid for one year. http://ow.ly/Y96Xl,2/17/16,,Yes,4/20/16,,,,,,,,
,Resonate,,What is Environmental Communication?,Various,,,Communication and Framing,Environmental Communication,,series of podcasts,http://www.envirocomm.org/podcasts/,No,No,,,Yes,What Are the Linkages between #Environmental Communication and Non-Human Animals? http://ow.ly/XzuOG,4/14/16,,,,,,,,,,,
,,,Dan Kahan: Cultural Cognition and the Challenge of Science Communication,Glenn Jobson,,12/7/10,,University of Cambridge,10 min,,http://www.sms.cam.ac.uk/media/1083337;jsessionid=24318FACA80319A17E5841ADF99EDF23,No,No,,,Yes,Dan Kahan: Cultural Cognition and the Challenge of #Science #Communication http://ow.ly/XzuF6,4/14/16,,,,,,,,,,,
,Easy,,The Psychological Climate Paradox: From Barriers to Solutions,Per Espen Stoknes,BI Center for Climate Strategy,1/22/14,,BI Center for Climate Strategy,30 min,,https://vimeo.com/85597189,No,No,,,Yes,The Psychologicial #Climate Paradox: From Challenge to Change http://ow.ly/XzuW2 ,1/5/16,7/28/16,Yes,3/25/16,,,,,,,,
,Mindful,,Don't Even Think About it - Why Our Brains Are Wired to Ignore Climate Change,George Marshall,WGBH Forum,2014,,WGBH Forum,,Video,https://www.youtube.com/watch?v=RelADP17zK8&index=105&list=PLyGz__IQOrcObBUurAx_0LusA7LvlJ2EQ,No,No,,,Yes,Don't Even Think About It - Why Our Brains Are Wired to Ignore #ClimateChange VIDEO via @climategeorge http://ow.ly/WYR6i,4/18/16,,,,,,,,,,,
,,All about Osbaldiston's Meta-Analysis,Environmental Sustainability and Behavioral Science: Meta-Analysis of Pro-Environmental Behavior Experiments,Richard Osbaldiston,,2013,Behavioral Science,Vimeo (?),,Video,http://vimeo.com/66198536,No,No,,,Yes,What we know�and what we don�t know�about promoting pro-environmental #behaviors. http://ow.ly/X28G3 ,4/19/16,,,,,,,,,,,
,,"Issues with people believing in climate change, ocean acidification, fisheries decline, problem with deforestation, etc.",The Science of Why We Don't Believe in Science,Chris Mooney - A writer (not scientist) who writes about science,,,,,,Video; Denying Science is a fundamenteally emotional process,https://www.youtube.com/watch?v=ANeW7U0qRKo,No,No,,,Yes,".@chriscmooney  ""The #Science of Why We Don't Believe in Science"" http://ow.ly/X290D #environment ",4/20/16,,,,,,,,,,,
,,,Environmental Communication Training: Lesson Seven,Water Words that Work,,2009,Communucation; Environmental Communication,Water Words that Work,,Video,https://www.youtube.com/watch?v=vCy3P2gG2mI&index=8&list=PLEE4A790680BA4EF9,No,No,,,Yes,The importance of #imagery and foolproof photos when communicating #conservation to citizens http://ow.ly/X29ho ,4/21/16,,,,,,,,,,,
,Resonate,,Eco-buoyant!: Elin Kelsey at TEDxMonterey,,TEDx Talks,,"Relentless ""doom and gloom"" fuels a culture of hopelessness among marine scientists, little kids, environmental activists and the rest of us. Elin champions a radical rethink of the ways we connect with the planet, drawing inspiration from studies on hope, resiliency, sustainable happiness, and the power to co-create in the post normal age.",,13 min,,https://www.youtube.com/watch?v=igVR2M6CMyM,No,No,,,Yes,"Relentless ""doom and gloom"" fuels a culture of hopelessness among#environmental�#activists�and the rest of us.�ow.ly/Ujxvf",12/21/15,6/8/16,,,,,,,,,,
,Resonate,recycling,Bottle Bank Arcade,,TheFunTheory,,people enjoy recycling more when it is fun,,2 min,,https://youtu.be/zSiHjMU-MUo,No,No,,,Yes,.@thefuntheory�believes that the easiest way to change people's#behavior�for the better is by making it fun to do.�ow.ly/UjxDu,12/22/15,6/14/16,Yes,6/3/16,,,,,,,,
,Resonate,,The World's Deepest Bin,,TheFunTheory,,people like throwing trash in bin that makes a fun sound,,1.5 min,,https://youtu.be/cbEKAwCoCKw,No,No,,,Yes,Another�#fun�example from @thefuntheory!�ow.ly/UjxGd�#recycle#trash,12/23/15,6/21/16,Yes,6/6/16,,,,,,,,
,Default,,Are we in control of our own decisions?,Dan Ariely,TED Talks,,Behavioral economist Dan Ariely uses classical visual illusions and his own counterintuitive research findings to show how we're not as rational as we think when we make decisions,,0.726388889,,http://www.ted.com/talks/dan_ariely_asks_are_we_in_control_of_our_own_decisions,No,No,,,Yes,Are we in control of our own#decisions?�#tedtalk:�ow.ly/UjxIl,12/29/15,,,,,,,,,,,
,Default,reducing food waste,Green nudge#2: A good meal,,Greenudge,,Reducing food waste through smaller plates,,0.111111111,,https://www.youtube.com/watch?v=9MImOh4hWUM,yes,No,,,Yes,Great video from @GreeNudge�!ow.ly/UjxMU�Talks about the different#nudges�to reduce�#foodwaste!,1/4/16,6/27/16,,,,,,,,,,
,Mindful,,Chris Chabris: When Intuition Fails,Christopher Chabris,,,"inattentional blindness, memory, cognitive illusions; overconfidence effect",,21 min,all 3 of his videos are similar,https://www.youtube.com/watch?v=59js7dcie08,No,No,,,Yes,.@cfchabris�'s work reveals how relying on our institutions is a perilous#decisionmaking�strategy.�ow.ly/UjzG4,1/11/16,,,,,,,,,,,
,Salient,Non environmental example,Which are deadlier: Sharks or Horses? ,CogSai,,,Simple & basic explanation of availability heuristic with interesting illustrations,,2 min,,https://www.youtube.com/watch?v=2_wkv1Gx2vM,No,No,,,Yes,Interesting video on the�#availability#heuristic! Which are deadlier: sharks or horses?�http://ow.ly/Uvc81#cognitivescience,1/14/16,,,,,,,,,,,
,Salient,,Black balloon,"Victorian government, Melboune",,,Physical representation of GHG emissions to promote residential energy conservation; Overcoming perceptual barriers,,45 sec,,https://www.youtube.com/watch?v=gcMNZueIyNI,YES,No,1,,Yes,"Wow, this video powerfully shows a tangible and easy to understand unit of measurement.�http://ow.ly/UvcdW#greenhousegas�#climate",1/18/16,8/3/16,Yes,4/21/16,,,,,,,,
,Salient,energy consumption,How behavioral science can lower your energy bill,Alex Laskey,TedTalk,,"What's a proven way to lower your energy costs? Would you believe: learning what your neighbor pays. Alex Laskey shows how a quirk of human behavior can make us all better, wiser energy users, with lower bills to prove it. (opower); social norms and feedback and prompts",,0.340972222,,http://www.ted.com/talks/alex_laskey_how_behavioral_science_can_lower_your_energy_bill#t-134769,No,No,,,Yes,How�#behavioralscience�can lower your�#energy�bill�#tedtalk:http://ow.ly/Uvdpq,1/25/16,5/31/16,Yes,1/11/16,,,,,,,,
,Personal ,,How to Persuade Others with the Right Question,Dan Pink,,,"Communication, the importance of allowing people to articulate their own reason for doing or not doing something and the effect this has on promoting desirable behavior",,5 min,not directly related to any ds principle but shows how to communicate with people,https://www.youtube.com/watch?v=WAL7Pz1i1jU,No,No,,,Yes,.@DanielPink�on How to Persuade Others with the Right Questionshttp://ow.ly/Uve5Q,1/27/16,8/4/16,,,,,,,,,,
,Personal ,,Wash Lab All Types,Consensus,Consensus,,different types of showers and how to approach each of them to get them take shorter showers,,6 min,,https://www.youtube.com/watch?v=_V7DzW4KMrM&feature=youtu.be,No,No,,,Yes,This video outlines the traits of different personal washing behaviors. Which one are you?�http://ow.ly/UveCL,1/28/16,5/25/16,Yes,1/13/16,,,,,,,,
,Mindful ,Can be used to be aware of cognitive biases towards the environment,How to improve your daily decision making: Top 4 cognitive biases you should avoid,,,,Being aware of certain cognitive biases can improve decision making.�,,0.219444444,,https://www.youtube.com/watch?v=3Ux3pm6UfCo,No,No,,,Yes,"4 #cognitive #biases to avoid Being aware can improve decision making, even those made towards the #environment. http://ow.ly/WYQg5",4/14/16,,Yes,3/18/16,,,,,,,,
,,,How great leaders inspire action,Simon Sinek,,2010,Inspiring action,TED,,Video; Talk about what you believe,http://www.ted.com/talks/simon_sinek_how_great_leaders_inspire_action,No,No,,,,,,,Yes,4/18/16,,,,,,,,
,Consistent,,Foot in the Door Phenomenon,Bo Bennet,,,Bennet describes the foot in the door technique,,5 min,,https://www.youtube.com/watch?v=oBNoa4c7J6I,No,No,,,,,,,,,,,,,,,,
,Consistent,,A Lesson On Cognitive Dissonance,,,,Basic explication of cognitive dissonance with footage from original experiments,,5 min,,https://www.youtube.com/watch?v=korGK0yGIDo,No,No,,,,,,,,,,,,,,,,
,Consistent,climate change,Climate change - the greatest story never told,George Marshall,,2014,,tedx talks,,video,https://www.youtube.com/watch?v=wBlTu9Tpvvo,No,No,,,Yes,,,,Yes,,,,,,,,,
,Consistent,,Dan Ariely - Cognitive Dissonance,Dan Ariely,,,Ariely discusses Leon Festinger's cognitive dissonance experiment and Zappos,,5 min,,https://www.youtube.com/watch?v=eFYPlXGiJ-E,Yes,No,,,,,,,,,,,,,,,,
,Consistent,,Climate Change -- The Greatest Story Never Told,George Marshall,,11/19/14,,,0.733333333,,https://www.youtube.com/watch?v=wBlTu9Tpvvo,No,No,,,,,,,,,,,,,,,,
,Consistent,,"Yale Professor Dan Kahan on ""protective cognition""",Dan Kahan,,,,,1.5 min,,https://www.youtube.com/watch?v=NJDBv7eldSU,No,No,,,,,,,,,,,,,,,,
,Easy,Preparedness,Disaster Preparedness as a Catalyst for Building Community�Before it Happens,JoAnn Jordan,Garrison Institute,2013,Overcoming barriers that prevent people from preparing for environmental disasters; Communication and Framing,Garrison Institute,,Video,https://www.youtube.com/watch?v=agZrXLjICnY&list=PLyGz__IQOrcObBUurAx_0LusA7LvlJ2EQ&index=8,No,No,,,,,,,,,,,,,,,,
,Feedback,,Health and Conservation Reminders Cut Consumer Energy Use,Cynthia Graber,Scientific American,1/12/15,Households that got weekly messages about the lower pollution they generated via efficiency cut energy use much more than did residents who were told how much money they were saving. Cynthia Graber reports,,0.068055556,,http://www.scientificamerican.com/podcast/episode/health-and-conservation-reminders-cut-consumer-energy-use/?utm_source=twitterfeed&utm_medium=twitter,Yes,No,,,,,,,,,,,,,,,,
,Habit,,When Willpower Isn't Enough,Katherine Milkman,Freakonomics,3/13/15,"One of the most compelling talks I saw at this year�s�American Economics Association conference�was by�Katherine Milkman, an assistant professor at the Wharton School at Penn. She holds a joint Ph.D. in computer science and business, but her passion is behavioral economics � and, specifically, how its findings can be applied to help people in their daily lives.�",,33 min,,http://freakonomics.com/podcast/when-willpower-isnt-enough-a-new-freakonomics-radio-podcast/,Yes,No,,,,,,,,,,,,,,,,
,Habits,,Motivation Wave,BJ Fogg,,,,,0.954861111,,Motivation Wave: MotivationWave-BJFogg-2012,No,No,,,,,,,,,,,,,,,,
