Website?,Problem or Solution?,BUILDING BLOCK,Substep,Environmental Tag,Environmental SubTag,World Region,Title,Author,Publisher,Date,Abstract,URL,Notes,,,,,,,,,,,,
Yes,"Problem, Solution","Identity, Relatable","Identitiy - Use affirmationa nd validation, Relatable - Match the message to what the audience already cares about",Climate - Belief ,,Canada and the US,The polarizing impact of science literacy and numeracy on perceived climate change risks," Kahan, D. M., Peters, E., Wittlin, M., Slovic, P., Ouellette, L. L., Braman, D., & Mandel, G.",Nature Climate Change,2012,"Seeming public apathy over climate change is often attributed to a deficit in comprehension. The public knows too little science, it is claimed, to understand the evidence or avoid being misled. Widespread limits on technical reasoning aggravate the problem by forcing citizens to use unreliable cognitive heuristics to assess risk. We conducted a study to test this account and found no support for it. Members of the public with the highest degrees of science literacy and technical reasoning capacity were not the most concerned about climate change. Rather, they were the ones among whom cultural polarization was greatest. This result suggests that public divisions over climate change stem not from the public�s incomprehension of science but from a distinctive conflict of interest: between the Relatable interest individuals have in forming beliefs in line with those held by others with whom they share close ties and the collective one they all share in making use of the best available science to promote common welfare.",http://www.nature.com/nclimate/journal/v2/n10/full/nclimate1547.html,Speaks of cultural cognition (group confirmation bias).,,,,,,,,,,,,
Yes,Solution,Relatable ,Foster empathy,Climate - Belief ,,Europe,Feelings for the Suffering of Others and the Environment: Compassion Fosters Proenvironmental Tendencies,"Pfattheicher, S., Sassesnrath, C., & Schindler, S.",Environment and Behavior,2015,"Recent research has shown that compassionate feelings for the suffering environment promote conservation of nature. We extend this notion and relate compassion for suffering humans to proenvironmental tendencies. The proposed relation should hold true as compassion elicits moral actions and judgments across different moral domains which should also be applicable to the environment. Therefore, we expect compassion for other humans to relate positively to proenvironmental tendencies. Two studies were conducted to test this assumption. Study 1 included three independent samples (final N = 2,096) and several measures of proenvironmental tendencies. Results revealed that compassion was indeed positively related to proenvironmental values, proenvironmental intentions and reported donations to nature or environmental organizations. In Study 2 we experimentally tested and found a causal path between compassion for humans and proenvironmental intentions. Implications for climate change and protection of nature are discussed. ",https://www.researchgate.net/publication/272089767_Feelings_for_the_Suffering_of_Others_and_the_Environment_Compassion_Fosters_Proenvironmental_Tendencies,,,,,,,,,,,,,
Yes,Solution,Vivid,Make the message memorable,Climate - Belief ,,Canada and the US,"Visceral Fit: While in a Visceral State, Associated States of the World Seem More Likely","Risen, J. L., & Critcher, C. R.",Journal of Personality and Social Psychology,2011,"We propose that visceral states can influence beliefs through �visceral fit�: People will judge states of the world associated with their current visceral experience as more likely. We found that warmth influenced belief in global warming (Studies 1�3) and that thirst impacted forecasts of drought and desertification (Study 5). These effects emerged in a naturalistic setting (Study 1) and in experimental lab settings (Studies 2, 3, and 5). Studies 2� 6 distinguished between 3 mechanistic accounts: temperature as information (Studies 2 and 3), conceptual accessibility (Studies 4 and 5), and fluency of simulation (Studies 6a and 6b). Studies 2 and 3 ruled out the temperature as information account. Feeling warm enhanced belief in global warming even when temperature was manipulated in an uninformative indoor setting, when participants� attention was first directed to the indoor temperature, and when participants� belief about the current outdoor temperature was statistically controlled. Studies 4 and 5 ruled out conceptual accessibility as the key mediator: Priming the corresponding concepts did not produce analogous effects on judgment. Studies 6a and 6b used a causal chain design and found support for a �simulational fluency� account. Participants experiencing the visceral state of warmth constructed more fluent mental representations of hot (vs. cold) outdoor images, and those who were led to construe the same hot outdoor images more fluently believed more in global warming. Together, the results suggest that visceral states can influence one�s beliefs by making matching states of the world easier to simulate and therefore seem more likely.",http://static1.1.sqspcdn.com/static/f/409296/7141854/1304571558863/Risen_Critcher_GW.pdf?token=y3KOy%2B2Wp0gewwTxsKKiIZ%2BNAQI%3D,,,,,,,,,,,,,
Yes,Solution,Relatable ,Connect at a local level,Climate - Belief ,,Europe,The psychological distance of climate change,"Spence, A., Poortinga, W., & Pidgeon, N. ",Risk Analysis,2012,"Avoiding dangerous climate change is one of the most urgent social risk issues we face today and understanding related public perceptions is critical to engaging the public with the major societal transformations required to combat climate change. Analyses of public perceptions have indicated that climate change is perceived as distant on a number of different dimensions. However, to date there has been no in-depth exploration of the psychological distance of climate change. This study uses a nationally representative British sample in order to systematically explore and characterize each of the four theorized dimensions of psychological distance�temporal, social, and geographical distance, and uncertainty�in relation to climate change. We examine how each of these different aspects of psychological distance relate to each other as well as to concerns about climate change and sustainable behavior intentions. Results indicate that climate change is both psychologically distant and proximal in relation to different dimensions. Lower psychological distance was generally associated with higher levels of concern, although perceived impacts on developing countries, as an indicator of social distance, was also significantly related to preparedness to act on climate change. Our findings clearly point to the utility of risk communication techniques designed to reduce psychological distance. However, highlighting the potentially very serious distant impacts of climate change may also be useful in promoting sustainable behavior, even among those already concerned.",http://onlinelibrary.wiley.com/doi/10.1111/j.1539-6924.2011.01695.x/abstract,Willingness to adopt mitigation measures,,,,,,,,,,,,
yes,Solution,Relatable ,Foster empathy,Climate - Belief ,,Canada and the US,How Framing Climate Change Influences Citizen Scientists' Intentions to Do Something About It,"Dickinson, J. L., Crain, R., Yalowitz, S., & Cherry, T. M.",The Journal of Environmental Education,2013,"How we communicate the dangers of climate change may influence attitudes, intentions, and behaviors. Here we test two pairs of positive and negative framing statements with North American citizen scientists interested in gardening and birdwatching. Mentioning dangers for humans did not increase participants� interest in taking personal action on climate change, but mentioning dangers for birds was highly effective. Highlighting the positive collective impacts of small behavioral changes also increased participants� interest in taking personal action. These results suggest that while some dire messages are ineffective, those evoking concern for target species of significance to the learners may be as successful as positive messages.",http://www.tandfonline.com/doi/abs/10.1080/00958964.2012.742032,,,,,,,,,,,,,
Yes,Solution,Relatable ,"Relatable - Relate it to personal experience, Relatable - The messenge matters",Climate - Belief ,,Canada and the US,What shapes perceptions of climate change?,"Weber, E. U.",Wiley Interdisciplinary Reviews: Climate change ,2010,"Climate change, as a slow and gradual modification of average climate conditions, is a difficult phenomenon to detect and track accurately based on Relatable experience. Insufficient concern and trust also complicate the transfer of scientific descriptions of climate change and climate variability from scientists to the public, politicians, and policy makers, which is not a simple transmission of facts. Instead, worldview and political ideology, two elements of the cultural context of decisions, guide attention toward events that threaten the desired or existing social order, and shape expectations of change, which in turn guide the detection and interpretation of climate events. Action that follows from climate change perceptions can be informed by different processes. Affect-based decisions about climate change are unlikely to motivate significant action, as politicians and the general public are not particularly worried about climate risks, and because attempts to scare people into greater action may have unintended negative consequences. Analysis-based decisions are also unlikely to result in significant action, because of large discounting of uncertain future costs of climate risks compared to the certain and immediate costs of climate change mitigation. Rule-based decisions that determine behavior based on moral or social responsibility may hold out the best prospects for sustainable action.",http://onlinelibrary.wiley.com/doi/10.1002/wcc.41/abstract,,,,,,,,,,,,,
yes,Solution,Identity,"Use ""Implementation intentions""","Climate - Belief , Climate - General",,Canada and the US,Future lock-in: Future implementation increases selection of 'should' choices,"Rogers, T., & Bazerman,  M. H., ",Organizational Behavior and Human Decision Processes,2008,"People often experience tension over certain choices (e.g., they should reduce their gas consumption or increase their savings, butthey do not want to). Some posit that this tension arises from the competing interests of a deliberative ��should�� self and an affective��want�� self. We show that people are more likely to select choices that serve the should self (should-choices) when the choices will beimplemented in the distant rather than the near future. This ��future lock-in�� is demonstrated in four experiments for should-choicesinvolving donation, public policy, and self-improvement. Additionally, we show that future lock-in can arise without changing thestructure of a should-choice, but by just changing people�s temporal focus. Finally, we provide evidence that the should self operatesat a higher construal level (abstract, superordinate) than the want self, and that this difference in construal partly underlies futurelock-in.",http://scholar.harvard.edu/todd_rogers/publications/future-lock-future-implementation-increases-selection-%E2%80%98should%E2%80%99-choices,Should vs. want,,,,,,,,,,,,
Maybe,Solution,Relatable ,,"Climate - Belief, Climate - Mitigation, Natural disasters",,"Africa, Europe","Adaptive capacity and human cognition: The process of individualadaptation to climate change","Grothmann, T., & Patt, A.",Global Environmental Change,2005,"Adaptation has emerged as an important area of research and assessment among climate change scientists. Most scholarly workhas identified resource constraints as being the most significant determinants of adaptation. However, empirical research onadaptation has so far mostly not addressed the importance of measurable and alterable psychological factors in determiningadaptation. Drawing from the literature in psychology and behavioural economics, we develop a socio-cognitive Model of PrivateProactive Adaptation to Climate Change (MPPACC). MPPACC separates out the psychological steps to taking action in responseto perception, and allows one to see where the most important bottlenecks occur�including risk perception and perceived adaptivecapacity, a factor largely neglected in previous climate change research. We then examine two case studies�one from urbanGermany and one from rural Zimbabwe�to explore the validity of MPPACC to explaining adaptation. In the German study, wefind that MPPACC provides better statistical power than traditional socio-economic models. In the Zimbabwean case study, we finda qualitative match between MPPACC and adaptive behaviour. Finally, we discuss the important implications of our findings bothon vulnerability and adaptation assessments, and on efforts to promote adaptation through outside intervention.",http://www.sciencedirect.com/science/article/pii/S095937800500004X,,,,,,,,,,,,,
Maybe,Problem,Relatable ,,"Climate - Belief, Natural disasters",,Asia,"""An Act of Allah�: Religious Explanations for Floods in Bangladesh as Survival Strategy","Schmuck, H.",International Journal of Mass Emergencies and Disasters,2000,"In countries of the so-called Third World, disaster prevention, preparedness, and relief do not have the expected outcome. Even if people are informed and warned about the arrival of a flood, cyclone, or earthquake, they hesitate to take precautions or leave the area. In some cases, they have to be forced to take refuge in the shelters built for this purpose. They seem to be helpless victims accepting their fate. This is especially the case in Bangladesh, a country which is frequently affected by floods, tornadoes, and cyclones. The affected people, mostly Muslim, regard these hazards as an act of Allah. Through the events He is showing His will and power against which they cannot and should not do anything. In the view of aid agencies, this perception and explanation hampers both external as well as indigenous efforts to survive disasters. However, the findings of my research on local perception and strategies to cope with floods reveal this conception to be a healthy reaction, self-help strategy to overcome crises as quickly as possible and return to daily life. As Allah has given the floods, He will also give believers the strength to survive them. The religious explanation prevents those affected literally wasting time and energy asking why disasters happen to them and not to others.",http://www.ijmed.org/articles/167/,,,,,,,,,,,,,
Yes,Solution,Relatable ,Relate it to personal experience,"Climate - Belief, Pollution - Air",,Europe,Are flood victims more concerned about climate change than other people? The role of direct experience in risk perception and behavioural response,"Whitmarsh, L.",Journal of Risk Research,2008,"Climate change is a threat to human health and life, both now and in the future. Despite this, studies show that the public typically do not consider the issue a priority concern or a direct, Relatable threat. Furthermore, few are taking any preventive or protective action. Previous studies identify direct experience as a major influence on risk perception, learning and action. Drawing on such evidence, this paper focuses on the intangibility of climate change as a key impediment to Relatable engagement and explores whether relevant experiences of flooding and air pollution influence individuals' knowledge, attitudes, risk perception and behavioural responses to climate change. Perhaps surprisingly, interviews and a survey conducted in the south of England indicate flood victims differ very little from other participants in their understanding of and responses to climate change, but that experience of air pollution does significantly affect perceptions of and behavioural responses to climate change. Air pollution victims are no more likely to cite pollution as a cause of climate change than non_victims; but they do have higher pro_environmental values. Respondents with these values are significantly more likely to consider climate change a salient risk and to take action in response to it. Therefore the relationship between air pollution experience and responses to climate change may be indirect and mediated by environmental values. The paper concludes by highlighting implications of this research for developing climate change policies and strategies for public engagement.",http://www.tandfonline.com/doi/abs/10.1080/13669870701552235,,,,,,,,,,,,,
Maybe,Solution,Associations,,Climate - Communication,,n/a,Why it Matters How We Frame the Environment,"Lakoff, G.",Environmental Communication: A Journal of Nature and Culture ,2010,,http://web.uri.edu/sustainability/files/Lakoff_Why-it-matters.pdf,,,,,,,,,,,,,
yes,Problem,"Associations, Vivid, Attitude Polarization, Risk aversion",,Climate - Communication,,Canada and the US,Solution aversion: On the relation between ideology and motivated disbelief,"Campbell, T. H., & Kay, A. C.",Journal of Personality and Social Psychology,2014,"There is often a curious distinction between what the scientific community and the general population believe to be true of dire scientific issues, and this skepticism tends to vary markedly across groups. For instance, in the case of climate change, Republicans (conservatives) are especially skeptical of the relevant science, particularly when they are compared with Democrats (liberals). What causes such radical group differences? We suggest, as have previous accounts, that this phenomenon is often motivated. However, the source of this motivation is not necessarily an aversion to the problem, per se, but an aversion to the solutions associated with the problem. This difference in underlying process holds important implications for understanding, predicting, and influencing motivated skepticism. In 4 studies, we tested this�solution aversion�explanation for why people are often so divided over evidence and why this divide often occurs so saliently across political party lines. Studies 1, 2, and 3�using correlational and experimental methodologies�demonstrated that Republicans� increased skepticism toward environmental sciences may be partly attributable to a conflict between specific ideological values and the most popularly discussed environmental solutions. Study 4 found that, in a different domain (crime), those holding a more liberal ideology (support for gun control) also show skepticism motivated by solution aversion. (PsycINFO Database Record (c) 2014 APA, all rights reserved)",http://psycnet.apa.org/journals/psp/107/5/809/,,,,,,,,,,,,,
Yes,Problem,Availability heuristic,,Climate - communication,,Canada and the US,Communicating uncertainty: lessons learned and suggestions for climate change assessment,"Patt, A., & Dessai, S.","External Geophysics, Climate and Environment",2005,"Assessments of climate change face the task of making information about uncertainty accessible and useful to decision-makers. The literature in behavior economics provides many examples of how people make decisions under conditions of uncertainty relying on inappropriate heuristics, leading to inconsistent and counterproductive choices. Modern risk communication practices recommend a number of methods to overcome these hurdles, which have been recommended for the Intergovernmental Panel on Climate Change (IPCC) assessment reports. This paper evaluates the success of the most recent IPCC approach to uncertainty communication, based on a controlled survey of climate change experts. Evaluating the results from the survey, and from a similar survey recently conducted among university students, the paper suggests that the most recent IPCC approach leaves open the possibility for biased and inconsistent responses to the information. The paper concludes by suggesting ways to improve the approach for future IPCC assessment reports.",http://www.sciencedirect.com/science/article/pii/S1631071304002822,uncertainty and risk,,,,,,,,,,,,
Yes,"Problem, Solution","Projection Bias, Present Focus Bias, Optimism Bias, Scope insensitivity",,Climate - Communication,,Canada and the US,Climate Change and Moral Judgment,"Markowitz, E. M., & Shariff, A. F.",Nature Climate Change,2012,"Converging evidence from the behavioural and brain sciences suggests that the human moral judgement system is not well equipped to identify climate change � a complex, large-scale and unintentionally caused phenomenon � as an important moral imperative. As climate change fails to generate strong moral intuitions, it does not motivate an urgent need for action in the way that other moral imperatives do. We review six reasons why climate change poses significant challenges to our moral judgement system and describe six strategies that communicators might use to confront these challenges. Enhancing moral intuitions about climate change may motivate greater support for ameliorative actions and policies.",http://www.nature.com/nclimate/journal/v2/n4/full/nclimate1378.htmlhttps://www.dropbox.com/home/Root%20Solutions/Ayana/Mindfulness%20and%20Global%20Warming?preview=Climate+Change+and+Moral+Judgement.pdf,relationship,,,,,,,,,,,,
Yes,"Problem, Solution","Associations, Vivid, Just World Fallacy",Associations - Use non-threathening language and labels,Climate - Communication,,Canada and the US,Apocalypse Soon? : Dire Messages Reduce Belief in Global Warming by Contradicting Just-World Beliefs,"Feinberg, M., & Willer, R.",Psychological Science,2010,"Though scientific evidence for the existence of global warming continues to mount, in the United States and other countries belief in global warming has stagnated or even decreased in recent years. One possible explanation for this pattern is that information about the potentially dire consequences of global warming threatens deeply held beliefs that the world is just, orderly, and stable. Individuals overcome this threat by denying or discounting the existence of global warming, and this process ultimately results in decreased willingness to counteract climate change. Two experiments provide support for this explanation of the dynamics of belief in global warming, suggesting that less dire messaging could be more effective for promoting public understanding of climate-change research.",http://www.climateaccess.org/sites/default/files/Feinberg_Apocalypse%20Soon.pdf,,,,,,,,,,,,,
Yes,"Problem, Solution","Scope insensitivity, Associations, Vivid",,Climate - Communication,,"Canada and the US, Europe, Asia",National Differences in Environmental Concern and Performance are Predicted by Country Age,"Hershfield, H. E., Bang, H. M., & Weber, E. U.",Sage Journals - Psychological Science,2014,"There are obvious economic predictors of ability and willingness to invest in environmental sustainability. Yet, given that environmental decisions represent trade-offs between present sacrifices and uncertain future benefits, psychological factors may also play a role in country-level environmental behavior. Gott�s principle suggests that citizens may use perceptions of their country�s age to predict its future continuation, with longer pasts predicting longer futures. Using country- and individual-level analyses, we examined whether longer perceived pasts result in longer perceived futures, which in turn motivate concern for continued environmental quality. Study 1 found that older countries scored higher on an environmental performance index, even when the analysis controlled for country-level differences in gross domestic product and governance. Study 2 showed that when the United States was framed as an old country (vs. a young one), participants were willing to donate more money to an environmental organization. The findings suggest that framing a country as a long-standing entity may effectively prompt proenvironmental behavior.",http://pss.sagepub.com/content/early/2013/11/20/0956797613501522,,,,,,,,,,,,,
Yes,Solution,Associations,,Climate - Communication,,Europe,How do young people engage with climate change? Towards more effective communication with 18-25 year olds.,"Corner, A., Roberts, O., & Pellisier, A.",Climate Outreach and Information Network,2015,,http://www.climateaccess.org/sites/default/files/COIN_Young%20Voices.pdf,,,,,,,,,,,,,
yes,Solution,"Associations, Relatable","Asssociations - Higlight Identites , Relatable - Match the message to what audience cares about",Climate - Communication,,Europe,Hearth and Hiraeth: Constructing Climate Change Narratives around National Identity,"Marshall, G.",COIN,2014,,http://www.thecccw.org.uk/wp-content/uploads/2015/05/COIN-Hearth-and-Hiraeth.pdf,Climate Change,,,,,,,,,,,,
Yes,Solution,"Associations, Easy, Identity, Vivid",,Climate - Communication,,Canada and the US,The Psychology of Climate Change Communication,Center for Research on Environmental Decisions (CRED),Columbia University,2009,,http://guide.cred.columbia.edu/pdfs/CREDguide_full-res.pdf,,,,,,,,,,,,,
Yes,Solution,"Associations, Relatable, Easy","Associations - Match the message to the audience�s worldviews, Easy - Make it the default setting , Relatable - Foster EmpathyMatch the message to the audience's worldviews",Climate - Communication,,Canada and the US,Connecting on Climate: A Guide to Effective Climate Change Communication,"Markowitz, E., Caroline H., & Harp, G.",Connecting on Climate,2014,,http://ecoamerica.org/wp-content/uploads/2014/12/ecoAmerica-CRED-2014-Connecting-on-Climate.pdf,,,,,,,,,,,,,
