Website?,Behavioral Problem,BUILDING BLOCK,Substep,Environmental Tag,Environmental Sub-Tag,World Region,Title,Author,News Source,Date,Summary,URL,Notes,,,,,,,,,,,,
Yes,Solution,Relatable,,Climate - Communication,,N/A,Putting People First: 2 ways to approach climate communications,Sharon Chen,EcoAffect,18-Dec-15,Overcoming the awkwardness in climate conversations and finding commonalities,http://ecoaffect.org/2015/12/18/putting-people-first-3-ways-to-approach-climate-communications-2/,,,,,,,,,,,,,
Yes,Solution,"Relatable, Vivid",,Climate - Communication,,"Canda and the US, Europe",Beyond Polar Bears: Why climate images matter,Robin Wester,Climate Home,14-Jan-16,New research on cliamte change iconography,http://www.climatechangenews.com/2016/01/14/28197/,,,,,,,,,,,,,
Yes,Solution,Vivid,,Climate - Communication,,"Africa, Asia, Canada and the US, Europe",12 ways the arts can encourage climate action,Anna Leach,The Guardian,25-Apr-16,,http://www.theguardian.com/global-development-professionals-network/2016/apr/25/12-ways-the-arts-can-encourage-climate-action,,,,,,,,,,,,,
Yes,Solution,Vivid,,Climate - Communication,,Canada and the US,How to convince the climate slacker to get serious,Heather Smith,grist,27-Apr-16,"proposes a ""message triangle"" (the threat, the villain, the solution) to talk about climate change",http://grist.org/climate-energy/how-to-convince-the-climate-slacker-to-get-serious/,,,,,,,,,,,,,
Yes,Solution,Vivid,,Climate - Communication,,Europe,"How to tell the story of climate change, in photos",Heather Smith,grist,26-Jan-16,briefly discusses the different kinds of photos that evoke responses from people,http://grist.org/climate-energy/how-to-tell-the-story-of-climate-change-in-photos/,,,,,,,,,,,,,
Yes,Solution,Associations,,"Climate - Communcation, Consumption - Energy",,Canada and the US,3 Lessons for communicating the value of energy efficiency,Cindy Frei,EcoAffect,16-Sep-15,Avoiding polarizing terms in climate change communication ,http://ecoaffect.org/2015/09/16/3-lessons-for-communicating-the-value-of-energy-efficiency/,,,,,,,,,,,,,
Yes,Solution,"Associations, Relatable",,"Climate - Communication, Climate - General Action",,"Canada and the US, Europe","Here and now, not there and then! Cabot institute lecture ",George Marshall,Climate Outreach & Information Network,19-Nov-15,"Ostrich effect, how to overcome it",http://climateoutreach.org/here-and-now-not-there-and-then/,,,,,,,,,,,,,
Yes,Solution,"Associations, Vivid",,"Climate - Communication, Oceans - General",,Canada and the US,Case study: visuals and conversations help deepen engagement on climate impact ,Christa Daniels,Climate Access,22-Jan-16,using visuals to communicate about climate change,http://www.climateaccess.org/blog/case-study-visuals-and-conversation-help-deepen-engagement-climate-impacts,,,,,,,,,,,,,
Yes,Solution,Vivid,,"Climate - Communication, Oceans - General",,Canada and the US,Virtual Reality Viewfinders Show Sealevel Rise and What to Do About it,Camille Von Kaenel,Scientific American ,14-Sep-15,Marin country OWL experiment,http://www.scientificamerican.com/article/virtual-reality-viewfinders-show-sea-level-rise-and-what-to-do-about-it/,,,,,,,,,,,,,
Yes,Solution,Associations,,"Climate - Communication, Climate - General Action",,Canada and the US,"Cause, Effect, and the power of ""we"": motivating people to act on climate",Ellen Hall ,EcoAffect,16-May-16,community centered solutions encourage involvement,http://ecoaffect.org/2016/05/16/cause-effect-and-the-power-of-we-motivating-people-to-act-on-climate/,,,,,,,,,,,,,
Yes,Solution,Relatable,,"Climate - Emissions, Environmental Policy",,Canda and the US,Building local support for carbon rules,Christa Daniels,Climate Access,22-Jul-15,How gain support for restrictive carbon intiatives amongst crowds that maybe not be in favor of them,http://www.climateaccess.org/blog/building-local-support-carbon-rules,,,,,,,,,,,,,
Yes,Solution,"Associations, Benefits, Hopeful, Ordinary",Ordinary - Provide positive social proof,Climate - General,,"Canada and the US, Europe",10 things you want to know about human nature if you're fighting climate change,Lisa Bennett,grist,10-Jun-15,"Covers 10 important biases and offeres studies that demonstrates them, makes an environmental connection ",http://grist.org/climate-energy/10-things-you-want-to-know-about-human-nature-if-youre-fighting-climate-change/,,,,,,,,,,,,,
Yes,Solution,"Benefits, Ordinary",Ordinary - Strengthen the norm through social networks,Climate - General,,Canada and the US,Apple just found a powerful new way to make people care about the planet,Chris Mooney,The Washington Post,14-Apr-16,Gamification of climate change concepts,https://www.washingtonpost.com/news/energy-environment/wp/2016/04/14/whats-so-different-and-powerful-about-apples-newest-green-initiative/,,,,,,,,,,,,,
Yes,Solution,"Ordinary, Hopeful",Ordinary - Provide positive social proof,Climate - General,,Canada and the US,Personally Speaking: Why effective climate messaging starts with people,Ellen Hall ,EcoAffect,2-Jun-16,Why using examples and visuals with people is the most important part of climate messaging,http://ecoaffect.org/2016/06/02/personally-speaking-why-effective-climate-messaging-starts-with-people/,,,,,,,,,,,,,
Yes,Solution,Relatable,,Climate - General,,"Canada and the US, Europe",Day 5: EcoAmerica in Paris - using music to put a voice to climate action ,Peggy Knudson,EcoAffect,11-Dec-15,Using dance as a messenger,http://ecoaffect.org/2015/12/11/13612/,,,,,,,,,,,,,
Yes,Solution,"Associations, Relatable, Vivid",,Climate - General,,Canada and the US,Why psychology should be a part in the fight against climate change,Carolyn Gregoire,The Huffington Post,18-Jan-16,Environmental psychology is needed in a world of diversity ,http://www.huffingtonpost.com/entry/climate-change-psychology_us_5674272ee4b014efe0d52186,,,,,,,,,,,,,
Yes,Solution,"Associations, Hopeful, Relatable",,Climate - General Action,,N/A,Using New Economic Frames to Drive Climate Action ,Cara Pike,Climate Access,29-Jan-16,Examples of how to talk to diverse groups about climate action and why its important,http://www.climateaccess.org/blog/using-new-economic-frames-drive-climate-action,,,,,,,,,,,,,
Yes,Solution,"Associations, Relatable",,Climate - General Action,,Canada and the US,Down with guilt! There are much better ways to get people to act on climate change,Heather Smith,grist,23-May-16,"trying to motivate people to act by making them feel guilty has proven to be ineffective, better to personalize it and describe why it is their problem too",http://grist.org/climate-energy/down-with-guilt-there-are-much-better-ways-to-get-people-to-act-on-climate-change/,,,,,,,,,,,,,
Yes,Solution,Benefits,,Climate - General Action,,Oceania,Emphasizing co-benefits motivates people to take action on climate change,John Abraham,The Guardian,1-Oct-15,co-benefits win people over to climate action ,http://www.theguardian.com/environment/climate-consensus-97-per-cent/2015/oct/01/emphasizing-co-benefits-motivates-people-to-take-action-on-climate-change?CMP=EMCENVEML1631,,,,,,,,,,,,,
Yes,Solution,Hopeful,,Climate - General Action,,Canada and the US,Overcoming phsychological boundaries for climate action ,Anna Baker,EcoAffect ,26-May-16,Climate change anxiety and the importance of make us hopeful ,http://ecoaffect.org/2016/05/26/overcoming-the-psychological-barriers-for-climate-action/,,,,,,,,,,,,,
Yes,Solution,Ordinary,Ordinary - Model the desired behavior,Climate - General Action,,Canada and the US,Sustainability on Ice: How the NHL is adressing climate concerns,Cindy Frei,EcoAffect,7-Jan-16,"Using celebrity power to reach untapped audiences, influence ",http://ecoaffect.org/2016/01/07/sustainability-on-ice-how-the-nhl-is-addressing-climate-concerns/,,,,,,,,,,,,,
Yes,Solution,Relatable,,Climate - General Action,,Canada and the US,Here's the secret to making people care about climate change ,Lisa Zaval and Ezra Markowitz,The Washington Post,4-Jan-16,Apealing to the idea of legacy to affect environmental habits,https://www.washingtonpost.com/posteverything/wp/2016/01/04/psychologists-have-discovered-the-secret-to-making-people-care-about-climate-change/?postshare=1441451917973467&tid=ss_tw-bottom,,,,,,,,,,,,,
Yes,Solution,Relatable,,Climate - General Action,,Canada and the US,How Obama's getting Americans to care about climate change,Nick Stockton,Wired ,5-Aug-15,Connecting climate to affect on chiildrens health,http://www.wired.com/2015/08/obamas-getting-americans-care-climate-change/,,,,,,,,,,,,,
Yes,Solution,"Associations, Benefits, Hopeful",,Consumption - Energy,,N/A,5 truths about our relationship with Energy,Renee Lertzman and Sue Kochan,GreenBiz,19-Mar-16,"how to talk about energy reduction in a way that doesn't make people feel like they're sacrificing, but rather gaining",https://www.greenbiz.com/article/5-truths-about-our-relationship-energy,,,,,,,,,,,,,
Yes,Solution,"Benefits, Relatable, Vivid",,Consumption - Energy,,Canada and the US,Energy Efficiency: Can policy makers make turn-offs a turn on?,Katherine Ling,Environment & Energy Publishing,7-Aug-15,Making energy reductions appealing using incentives and appealing to competitive identity,http://www.eenews.net/stories/1060022688,,,,,,,,,,,,,
Yes,Solution,Associations,,Food - Organic/Sustainable,,Canada and the US,"Moving beyond ""organic"" versus ""conventional"" when it comes to feeding the world",Claire Kelloway,Resource Media,4-Dec-15,"the word organic is becomoning synonymous with sustainabile farming when the issue is not black and white. Frame it differently so that people can see the actual problem and that organic farming also has its flaws. A better food system is less wasteful fosil fuel intensive. However, organic foods sometimes have these implications as well. ",http://www.resource-media.org/moving-beyond-organic-versus-conventional-when-it-comes-to-feeding-the-world/#.V09S1fkrLIU,,,,,,,,,,,,,
Yes,Solution,Easy,Easy - Default,Food - Waste,,Canada and the US,Universities Leading the Charge on Food Waste,Quinn Sanderson,Resource Media,7-Oct-15,studies have shown that simply removing a tray from college cafeterias or offering smaller serving utensils is very effective in making food waste reductions,http://www.resource-media.org/universities-leading-the-charge-on-food-waste/#.V09TIvkrLIU,,,,,,,,,,,,,
Yes,Solution,"Ordinary, Vivid",Ordinary - Strengthen the norm through social networks,Food - Waste,,Canada and the US,"Food Waste on Twitter: Lots of Talk, But Can We Get Some Action?",Quinn Sanderson,Resource Media,12-Oct-15,"about Twitter's ""#foodwaste trend where everyone started talking about it ",http://www.resource-media.org/food-waste-on-twitter-lots-of-talk-but-can-we-get-some-action/#.V09TH_krLIU,,,,,,,,,,,,,
Yes,Solution,Vivid,,Food - Waste,,Canada and the US,Visualizing Food Waste,Krista Meyer,Resource Media,2-Oct-15,food is being thrown away simply because it looks misshapen. The author asks for media campaigns to focus on people- asking them to cook and eat with misshapen food to make it a social norm,http://www.resource-media.org/visualizing-food-waste/#.V09TKPkrLIU,,,,,,,,,,,,,
Yes,Solution,Ordinary,Ordinary - Model the desired behavior,Freshwater - Drought,,Canada and the US,Mainsreaming water conservation: lessons from energy efficiency,Nicole Lampe,Resource Media,15-Jul-15,talks about raising awareness for drought- it is more effective for people to believe that everyone is conserving water. Campaign ads describing water-deprived lawns as gold. These methods normalize water conservation and cast a positive light on the effects of water conservation (i.e. a dying lawn) ,http://www.resource-media.org/mainstreaming-water-conservation-lessons-from-energy-efficiency/#.V090i_krLIU,,,,,,,,,,,,,
Yes,Solution,"Associations, Ordinary, Relatable, Vivid",Ordinary - Model the desired behavior,Climate - General Action,,Canada and the US,Climate Engagement best practices for engaging communities,Toronto Environmental Alliance,Climate Access ,N/A,How to frame climate change conversation,http://www.climateaccess.org/sites/default/files/TEA_Climate_Engagement_Principles.pdf,,,,,,,,,,,,,
Yes,Solution,"Associations, Relatable",,"Natural Disasters, Climate - General",,Canada and the US,Want to make climate impacts more relatable? Start with water,Ellen Hall ,EcoAffect,25-May-16,appealing to human's most basic resource to create understanding of climate change,http://ecoaffect.org/2016/05/25/want-to-make-climate-impacts-more-relatable-start-with-water/,,,,,,,,,,,,,
Yes,Solution,"Associations, Relatable ",,Non-environmental,,Europe,The key to political persuasion ,Robb Willer and Matthew Fienberg,The New York Times,13-Nov-15,what vales to target for liberals versus conservatives ,http://www.nytimes.com/2015/11/15/opinion/sunday/the-key-to-political-persuasion.html?ref=opinion&_r=1,,,,,,,,,,,,,
Yes,Solution,"Benefits, Relatable",,Non-environmental,,Canada and the US,How can a letter increase sewer bill payments? ,Martin Sweeney and Owen Phillips,The Behavioural Insights Team,3-May-16,Sewer bills with courtesy letters raise the odds of users paying the bill on time by 5%,http://www.behaviouralinsights.co.uk/north-america/how-can-a-letter-increase-sewer-bill-payments/,,,,,,,,,,,,,
